id,Season,city,Date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,Team_win_id,venue,umpire1,umpire2,umpire3
143,IPL-2009,Johannesburg,2009-05-03 00:00:00,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,9,JH Kallis,13,New Wanderers Stadium,RE Koertzen,TH Wijewardene,""
154,IPL-2009,Johannesburg,2009-05-10 00:00:00,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,A Mishra,4,New Wanderers Stadium,SL Shastri,RB Tiffin,""
163,IPL-2009,Johannesburg,2009-05-16 00:00:00,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,RG Sharma,2,New Wanderers Stadium,RE Koertzen,S Ravi,""
164,IPL-2009,Johannesburg,2009-05-17 00:00:00,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,1,0,Yuvraj Singh,6,New Wanderers Stadium,S Ravi,RB Tiffin,""
167,IPL-2009,Johannesburg,2009-05-19 00:00:00,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Royal Challengers Bangalore,0,7,JH Kallis,13,New Wanderers Stadium,IL Howell,RB Tiffin,""
173,IPL-2009,Johannesburg,2009-05-23 00:00:00,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,MK Pandey,13,New Wanderers Stadium,RE Koertzen,SJA Taufel,""
174,IPL-2009,Johannesburg,2009-05-24 00:00:00,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,6,0,A Kumble,2,New Wanderers Stadium,RE Koertzen,SJA Taufel,""
151,IPL-2009,Kimberley,2009-05-09 00:00:00,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,3,DPMD Jayawardene,6,De Beers Diamond Oval,GAV Baxter,AM Saheba,""
152,IPL-2009,Kimberley,2009-05-09 00:00:00,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,S Badrinath,1,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,""
155,IPL-2009,Kimberley,2009-05-11 00:00:00,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Deccan Chargers,53,0,DR Smith,2,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,""
122,IPL-2009,Port Elizabeth,2009-04-20 00:00:00,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,M Muralitharan,1,St George's Park,BG Jerling,SJA Taufel,""
129,IPL-2009,Port Elizabeth,2009-04-26 00:00:00,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Delhi Daredevils,0,6,TM Dilshan,4,St George's Park,S Asnani,BG Jerling,""
132,IPL-2009,Port Elizabeth,2009-04-27 00:00:00,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,92,0,SR Tendulkar,9,St George's Park,BG Jerling,RB Tiffin,""
140,IPL-2009,Port Elizabeth,2009-05-02 00:00:00,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,3,YK Pathan,11,St George's Park,S Asnani,BG Jerling,""
142,IPL-2009,Port Elizabeth,2009-05-03 00:00:00,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,6,DPMD Jayawardene,6,St George's Park,S Asnani,MR Benson,""
153,IPL-2009,Port Elizabeth,2009-05-10 00:00:00,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,JP Duminy,9,St George's Park,BR Doctrove,BG Jerling,""
162,IPL-2009,Port Elizabeth,2009-05-16 00:00:00,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,ML Hayden,1,St George's Park,SK Tarapore,SJA Taufel,""
180,IPL-2010,Ahmedabad,2010-03-15 00:00:00,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,V Sehwag,4,"Sardar Patel Stadium, Motera",BG Jerling,RE Koertzen,""
187,IPL-2010,Ahmedabad,2010-03-20 00:00:00,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,34,0,AA Jhunjhunwala,11,"Sardar Patel Stadium, Motera",RE Koertzen,RB Tiffin,""
195,IPL-2010,Ahmedabad,2010-03-26 00:00:00,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,8,YK Pathan,11,"Sardar Patel Stadium, Motera",HDPK Dharmasena,SJA Taufel,""
198,IPL-2010,Ahmedabad,2010-03-28 00:00:00,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,NV Ojha,11,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,""
181,IPL-2010,Bangalore,2010-03-16 00:00:00,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,8,JH Kallis,13,M Chinnaswamy Stadium,S Das,DJ Harper,""
184,IPL-2010,Bangalore,2010-03-18 00:00:00,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,JH Kallis,13,M Chinnaswamy Stadium,K Hariharan,DJ Harper,""
192,IPL-2010,Bangalore,2010-03-23 00:00:00,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,RV Uthappa,13,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,""
197,IPL-2010,Bangalore,2010-03-25 00:00:00,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,17,0,KM Jadhav,4,M Chinnaswamy Stadium,BG Jerling,RE Koertzen,""
214,IPL-2010,Bangalore,2010-04-08 00:00:00,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,TL Suman,2,M Chinnaswamy Stadium,S Asnani,DJ Harper,""
217,IPL-2010,Bangalore,2010-04-10 00:00:00,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,13,M Chinnaswamy Stadium,K Hariharan,DJ Harper,""
226,IPL-2010,Bangalore,2010-04-17 00:00:00,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R McLaren,9,M Chinnaswamy Stadium,HDPK Dharmasena,SJA Taufel,""
177,IPL-2010,Chandigarh,2010-03-13 00:00:00,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,G Gambhir,4,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,""
193,IPL-2010,Chandigarh,2010-03-24 00:00:00,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,0,Rajasthan Royals,31,0,AC Voges,11,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,SK Tarapore,""
196,IPL-2010,Chandigarh,2010-03-27 00:00:00,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,MK Tiwary,8,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,S Ravi,""
205,IPL-2010,Chandigarh,2010-04-02 00:00:00,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,KP Pietersen,13,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,""
215,IPL-2010,Chandigarh,2010-04-09 00:00:00,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,6,KC Sangakkara,6,"Punjab Cricket Association Stadium, Mohali",M Erasmus,AM Saheba,""
179,IPL-2010,Chennai,2010-03-14 00:00:00,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Deccan Chargers,31,0,WPUJC Vaas,2,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,""
190,IPL-2010,Chennai,2010-03-21 00:00:00,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings XI Punjab,0,0,J Theron,6,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,""
